id,builder_group,high_triangles,low_triangles,high_gear_triangles,low_gear_triangles,configured_return_stations_high,configured_return_stations_low,shared_roller_tire_instances_high,shared_roller_tire_instances_low,wheel_pattern_status,wheel_finish_flags,rest_wrap_status,animated_stock_fit,country_tread_match,closure_visuals,material_visuals,next_action
t84,t80,82636,76630,51500,46252,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90,t90,81114,75084,50924,45676,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90a,t90,81140,75330,50360,45112,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90a_vladimir,t90,75954,69304,49996,44460,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90a_burlak,t90,75962,70148,50360,45112,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90sm,t90,73386,67536,50828,45580,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90m,t90,95736,89568,62768,57232,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90ms,t90,70534,64672,50368,45120,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90m_proryv,t90,94116,87948,62768,57232,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
strv81,sweden,80110,74540,60448,56064,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
udes03,sweden,48342,44724,40728,37208,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
strv103a,sweden,59910,56820,37560,34616,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
strv103,sweden,66062,63598,38672,36304,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
cv90,sweden,68166,62242,55456,49856,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
cv90105_tml_x,cv90105TmlSourceX,50312,33410,41488,26352,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
strv122,sweden,108258,99022,64584,58824,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
cv90_mkiv,sweden,75676,69176,55880,50280,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
cv90_mkiv_x,cv90MkivSourceX,50980,33356,41600,26464,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
kv2,sovietHeavy,75492,71532,53064,49832,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
jpz_e100,casemate,88752,82038,59664,53264,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
sturmtiger,casemate,65586,59018,52272,45872,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Inspect actual merged roller stock and reference eligibility
t95,casemate,110916,103682,97008,90640,4,4,16,16,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
chieftain5,uk,76516,69120,58508,53260,0,0,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
chieftain_mk10,uk,73644,66320,58508,53260,0,0,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
challenger1,challenger,88546,83034,61192,56808,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
fv4034,challenger,104010,81110,66644,51796,0,0,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Inspect actual merged roller stock and reference eligibility
challenger2,challenger,109472,85100,67604,52756,0,0,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Inspect actual merged roller stock and reference eligibility
challenger2e,challenger,112718,88698,66644,51796,0,0,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Inspect actual merged roller stock and reference eligibility
ua_challenger2,challenger,114986,90966,67604,52756,0,0,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Inspect actual merged roller stock and reference eligibility
challenger_3,challenger,89930,73822,67456,52608,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
challenger_3x,challenger,101198,85090,67456,52608,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
k2,modern3Core,87486,80246,56336,51760,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
k1a1,modern3Core,78286,72734,55212,50636,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
stb1,japan,64782,59800,47056,43792,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type74,misc,61958,58134,49604,46340,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type90,misc,70536,64952,53936,49072,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type90a,japan,79584,74000,55952,51088,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type10,modern3Core,81786,75156,59480,55064,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type10b,japan,94614,87984,62072,57656,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m2a2_bradley,modern3Core,65292,60244,43944,39368,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
bmp2,modern3Core,67144,63096,48476,44572,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
spz_puma,afv,69660,64956,46232,41656,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
spz_puma_s1,afv,69724,64532,52352,47488,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type89_light_tiger,afv,80486,75298,57488,52624,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type89,modern3Core,60792,56082,48548,43972,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
carro45t,italy,65862,61496,53000,49096,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ariete,italy,82882,75898,66672,60576,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ariete_c1,italy,76898,70588,58776,52968,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ariete_c2,italy,86136,79826,58776,52968,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ariete_c1_x,arieteX,92834,80642,53400,46584,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
ariete_c2_x,arieteX,93978,66002,53192,32368,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
amx40,franceCore,78910,74118,56392,52200,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo1a5,leopard,88752,79494,68080,61984,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
leopard2_proto,leopard,84578,76326,63380,57060,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2a4,leopard,105656,97356,63056,56736,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2a4_otco,germany,90276,81976,63056,56736,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2a4m,leopard,96492,88296,61320,55224,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2a5,leopard,101676,92438,64584,58824,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2a5_a5nl,leopard,109080,99722,64584,58824,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2a6,leopard,100898,89998,60908,54812,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
leo2a6m,leopard,101440,92092,61320,55224,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2_revolution_proto,leopard,91822,83510,61588,55492,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2_revolution,leopard,73666,67302,57436,51852,4,4,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2a7v,leopard,97254,88174,62144,56048,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leclerc,misc,98320,92706,73808,69328,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leclerc_xlr,misc,101904,96290,73808,69328,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
amx56,misc,104396,98782,73808,69328,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type59,modern2,73322,69050,46484,44340,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ztz85_iii,modern2,64548,59262,49992,45608,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type99a,modern2,73766,68200,54008,48760,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type96b_x,type96bX,64498,38446,53640,30056,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
aft10_x,aft10X,70708,40922,35296,19456,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
ztz99a2_prototype,modern2,73744,68184,54324,49940,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ztz99a2,modern2,68236,62844,54324,49940,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
vt4a1,modern2,72312,67468,54324,49940,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type100,modern2,50242,37260,42408,31592,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
ztz100_x,modern2,99198,69416,61872,34608,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
ztz100_prototype,modern2,72126,63578,49864,45128,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
mbt70,modern2,81314,73736,60152,54344,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t14,modern2,75612,69194,56528,51216,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
kf51,leopard,116430,104202,82220,70412,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
kf51b,leopard,106228,98316,81040,74944,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m1a2_legacy,abrams,95240,82938,54360,48840,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
fv510,uk,64314,60460,46164,42452,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
fv510_milan,uk,69302,65448,46164,42452,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
fv510_milan_x,fv510MilanX,65496,39184,46768,23664,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
ajax_x,ajaxX,79620,47736,54576,27504,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
ares_apc_x,aresApcX,75962,56602,55416,50104,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m60a1,patton,80884,75632,58372,53796,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
merkava1b,merkava,110750,103506,72312,67160,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
merkava2b,merkava,100780,92328,68536,62040,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
merkava2d,merkava,103114,94662,68536,62040,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
sabra_mk2_x,sabraMk2SourceX,73430,47032,60312,36280,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
merkava3c,merkava,110834,101738,66264,59768,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
merkava3d,merkava,119398,111770,70696,65544,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
merkava3d_x,merkavaX,76882,70406,56224,50528,4,4,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
merkava4_x,merkavaX,78844,73148,55112,49416,4,4,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
merkava4b,merkava,107882,100150,72808,67656,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
namer_ifv,merkavaX,74284,42752,58612,28136,4,4,0,0,PASS,PROUD,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Keep source-qualified 31.42 mm hub; generic 25 mm style flag remains
merkava4_trophy,merkavaX,86024,54568,55856,24400,4,4,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
merkava4_barak,merkavaX,98456,54000,65056,26744,4,4,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
amx30,misc,72170,67750,51632,47488,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
amx30b2,misc,75478,71058,51632,47488,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m48,patton,80852,74484,58932,53780,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m60a2,patton,82804,77976,59172,54596,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
vickers_mk1,uk,70922,65382,58008,52760,0,0,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
isu152,casemate,148156,142736,42952,40392,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
isu122s,casemate,138178,127282,45376,42144,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
centurion3,uk,73896,68316,60448,56064,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
centurion5,uk,77984,72596,60448,56064,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m46_patton,patton,79002,73478,56524,51948,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m47_patton,patton,76239,70343,54632,50056,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m26_pershing,patton,75464,69282,56856,51416,6,6,12,12,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m45_patton,patton,72074,66182,56032,50592,6,6,12,12,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m60a3,patton,82390,76658,58372,53796,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ua_t64bv,ukraine,90530,83336,52376,46840,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ua_t80bv,ukraine,76264,68868,51380,45556,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ua_t80u_kursk,ukraine,73354,65986,52108,46284,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
ua_t84_oplot_m,ukraine,81416,75232,53660,48124,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ua_m1a1,ukraine,137160,117860,73528,56472,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
leo2a6_ua,leopard,132554,123214,61320,55224,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
object695_x,modern2,76646,69222,57088,52928,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t72m1_jaguar,poland,76316,69622,50820,45572,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
pt91_twardy,poland,78086,71420,49064,43816,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
pl01,poland,74916,69670,56576,51632,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
pl01_105,poland,76072,70826,56576,51632,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
k2b,korea,96104,88864,56336,51760,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
bmp3_rok,afv,69218,63858,49180,44604,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
ua_m2a3_bradley,afv,74134,69086,43944,39368,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
bmpt_terminator2,afv,82972,77604,59480,54232,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
bwp1,afv,67368,62008,46140,41564,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
marder1a3,afv,62676,57584,43944,39368,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m3a3_bradley,afv,73746,68042,43944,39368,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
bmp3,afv,67368,62584,51820,47244,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
bmp3m_dragun125_x,bmp3mDragun125X,66048,40840,50352,28176,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
